,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,interval
0,False,False,True,0.244,-3.9279999999999973,False,-7.495999999999999,-0.5159999999999982,cf_duration,isolated
0,True,False,False,0.8792,0.04800000000000004,False,-0.3600000000000001,1.644,tfm_duration,isolated
0,False,False,True,0.8166,-0.10000000000000009,False,-0.10000000000000009,-0.10000000000000009,ifm_duration,isolated
0,False,False,False,0.0,-4.084191012993401,True,,,cf_peak_frequency,isolated
0,False,False,True,0.158,-3.842759986225886,False,-6.316098707403057,-0.5736876894104626,tfm_terminal_frequency,isolated
0,False,False,True,0.32,-3.4622221970835625,False,-3.4622221970835625,-3.4622221970835625,ifm_terminal_frequency,isolated
0,True,False,False,0.822,-0.7753529405414135,False,-8.233217518557215,4.36565572818542,cf_dbrms,isolated
0,True,False,False,0.5868,-1.941200768555884,False,-11.764489942803642,7.671433593899302,tfm_dbrms,isolated
0,True,False,False,0.3246,-3.2080347093181274,False,-11.960283355735271,3.886258741188616,ifm_dbrms,isolated
0,True,False,False,0.8192,-0.5503879592799423,False,-3.672520713493629,5.974615624866669,tfm-cf_dbratio,isolated
0,True,False,False,0.3598,-1.5758427765750422,False,-2.505759589934632,4.533051742416129,ifm-cf_dbratio,isolated
0,False,True,False,0.1692,4.008841652083968,False,0.9129653391094479,6.398204049479087,tfm_bw,isolated
0,False,True,False,0.8684,0.5777556492489975,False,0.5777556492489975,0.5777556492489975,ifm_bw,isolated
